"";"Regija";"Placilni.razred";"Leto";"Spol";"Neto.placa"
"207";"Pomurska";"03";"2017";"Moski";614
"208";"Pomurska";"04";"2009";"Moski";850
"209";"Pomurska";"04";"2010";"Moski";934
"210";"Pomurska";"04";"2011";"Moski";827
"211";"Pomurska";"04";"2012";"Moski";822
"212";"Pomurska";"04";"2013";"Moski";689
"213";"Pomurska";"04";"2014";"Moski";745
"214";"Pomurska";"04";"2015";"Moski";730
"215";"Pomurska";"04";"2016";"Moski";725
"216";"Pomurska";"04";"2017";"Moski";728
"217";"Pomurska";"05";"2009";"Moski";850
"218";"Pomurska";"05";"2010";"Moski";949
"219";"Pomurska";"05";"2011";"Moski";905
"220";"Pomurska";"05";"2012";"Moski";807
"221";"Pomurska";"05";"2013";"Moski";920
"222";"Pomurska";"05";"2014";"Moski";882
"223";"Pomurska";"05";"2015";"Moski";813
"224";"Pomurska";"05";"2016";"Moski";793
"225";"Pomurska";"05";"2017";"Moski";921
"226";"Pomurska";"06";"2009";"Moski";995
"227";"Pomurska";"06";"2010";"Moski";1017
"228";"Pomurska";"06";"2011";"Moski";915
"229";"Pomurska";"06";"2012";"Moski";938
"230";"Pomurska";"06";"2013";"Moski";954
"231";"Pomurska";"06";"2014";"Moski";1012
"232";"Pomurska";"06";"2015";"Moski";940
"233";"Pomurska";"06";"2016";"Moski";984
"234";"Pomurska";"06";"2017";"Moski";1051
"235";"Pomurska";"07";"2009";"Moski";1077
"236";"Pomurska";"07";"2010";"Moski";925
"237";"Pomurska";"07";"2011";"Moski";945
"238";"Pomurska";"07";"2012";"Moski";920
"239";"Pomurska";"07";"2013";"Moski";938
"240";"Pomurska";"07";"2014";"Moski";872
"241";"Pomurska";"07";"2015";"Moski";916
"242";"Pomurska";"07";"2016";"Moski";977
"243";"Pomurska";"07";"2017";"Moski";968
"244";"Pomurska";"08";"2009";"Moski";1053
"245";"Pomurska";"08";"2010";"Moski";960
"246";"Pomurska";"08";"2011";"Moski";893
"247";"Pomurska";"08";"2012";"Moski";874
"248";"Pomurska";"08";"2013";"Moski";920
"249";"Pomurska";"08";"2014";"Moski";911
"250";"Pomurska";"08";"2015";"Moski";882
"251";"Pomurska";"08";"2016";"Moski";872
"252";"Pomurska";"08";"2017";"Moski";857
"253";"Pomurska";"09";"2009";"Moski";996
"254";"Pomurska";"09";"2010";"Moski";841
"255";"Pomurska";"09";"2011";"Moski";806
"256";"Pomurska";"09";"2012";"Moski";817
"257";"Pomurska";"09";"2013";"Moski";887
"258";"Pomurska";"09";"2014";"Moski";793
"259";"Pomurska";"09";"2015";"Moski";794
"260";"Pomurska";"09";"2016";"Moski";806
"261";"Pomurska";"09";"2017";"Moski";776
"262";"Pomurska";"10";"2009";"Moski";888
"263";"Pomurska";"10";"2010";"Moski";783
"264";"Pomurska";"10";"2011";"Moski";761
"265";"Pomurska";"10";"2012";"Moski";742
"266";"Pomurska";"10";"2013";"Moski";734
"267";"Pomurska";"10";"2014";"Moski";732
"268";"Pomurska";"10";"2015";"Moski";755
"269";"Pomurska";"10";"2016";"Moski";781
"270";"Pomurska";"10";"2017";"Moski";749
"271";"Pomurska";"11";"2009";"Moski";723
"272";"Pomurska";"11";"2010";"Moski";683
"273";"Pomurska";"11";"2011";"Moski";698
"274";"Pomurska";"11";"2012";"Moski";679
"275";"Pomurska";"11";"2013";"Moski";616
"276";"Pomurska";"11";"2014";"Moski";648
"277";"Pomurska";"11";"2015";"Moski";674
"278";"Pomurska";"11";"2016";"Moski";636
"279";"Pomurska";"11";"2017";"Moski";657
"280";"Pomurska";"12";"2009";"Moski";675
"281";"Pomurska";"12";"2010";"Moski";645
"282";"Pomurska";"12";"2011";"Moski";599
"283";"Pomurska";"12";"2012";"Moski";648
"284";"Pomurska";"12";"2013";"Moski";527
"285";"Pomurska";"12";"2014";"Moski";559
"286";"Pomurska";"12";"2015";"Moski";574
"287";"Pomurska";"12";"2016";"Moski";608
"288";"Pomurska";"12";"2017";"Moski";633
"289";"Pomurska";"13";"2009";"Moski";610
"290";"Pomurska";"13";"2010";"Moski";563
"291";"Pomurska";"13";"2011";"Moski";557
"292";"Pomurska";"13";"2012";"Moski";568
"293";"Pomurska";"13";"2013";"Moski";527
"294";"Pomurska";"13";"2014";"Moski";566
"295";"Pomurska";"13";"2015";"Moski";565
"296";"Pomurska";"13";"2016";"Moski";596
"297";"Pomurska";"13";"2017";"Moski";594
"298";"Pomurska";"14";"2009";"Moski";551
"299";"Pomurska";"14";"2010";"Moski";516
"300";"Pomurska";"14";"2011";"Moski";517
"301";"Pomurska";"14";"2012";"Moski";516
"302";"Pomurska";"14";"2013";"Moski";458
"303";"Pomurska";"14";"2014";"Moski";530
"304";"Pomurska";"14";"2015";"Moski";543
"305";"Pomurska";"14";"2016";"Moski";538
"306";"Pomurska";"14";"2017";"Moski";574
"307";"Pomurska";"15";"2009";"Moski";548
"308";"Pomurska";"15";"2010";"Moski";551
"309";"Pomurska";"15";"2011";"Moski";504
"310";"Pomurska";"15";"2012";"Moski";519
"311";"Pomurska";"15";"2013";"Moski";455
"312";"Pomurska";"15";"2014";"Moski";514
"313";"Pomurska";"15";"2015";"Moski";504
"314";"Pomurska";"15";"2016";"Moski";521
"315";"Pomurska";"15";"2017";"Moski";546
"316";"Pomurska";"16";"2009";"Moski";551
"317";"Pomurska";"16";"2010";"Moski";509
"318";"Pomurska";"16";"2011";"Moski";486
"319";"Pomurska";"16";"2012";"Moski";465
"320";"Pomurska";"16";"2013";"Moski";398
"321";"Pomurska";"16";"2014";"Moski";433
"322";"Pomurska";"16";"2015";"Moski";453
"323";"Pomurska";"16";"2016";"Moski";465
"324";"Pomurska";"16";"2017";"Moski";429
"325";"Pomurska";"17";"2009";"Moski";446
"326";"Pomurska";"17";"2010";"Moski";408
"327";"Pomurska";"17";"2011";"Moski";398
"328";"Pomurska";"17";"2012";"Moski";382
"329";"Pomurska";"17";"2013";"Moski";347
"330";"Pomurska";"17";"2014";"Moski";380
"331";"Pomurska";"17";"2015";"Moski";363
"332";"Pomurska";"17";"2016";"Moski";414
"333";"Pomurska";"17";"2017";"Moski";437
"334";"Pomurska";"18";"2009";"Moski";381
"335";"Pomurska";"18";"2010";"Moski";366
"336";"Pomurska";"18";"2011";"Moski";372
"337";"Pomurska";"18";"2012";"Moski";378
"338";"Pomurska";"18";"2013";"Moski";375
"339";"Pomurska";"18";"2014";"Moski";416
"340";"Pomurska";"18";"2015";"Moski";372
"341";"Pomurska";"18";"2016";"Moski";400
"342";"Pomurska";"18";"2017";"Moski";414
"343";"Pomurska";"19";"2009";"Moski";438
"344";"Pomurska";"19";"2010";"Moski";414
"345";"Pomurska";"19";"2011";"Moski";381
"346";"Pomurska";"19";"2012";"Moski";392
"347";"Pomurska";"19";"2013";"Moski";393
"348";"Pomurska";"19";"2014";"Moski";397
"349";"Pomurska";"19";"2015";"Moski";360
"350";"Pomurska";"19";"2016";"Moski";386
"351";"Pomurska";"19";"2017";"Moski";415
"352";"Pomurska";"20";"2009";"Moski";422
"353";"Pomurska";"20";"2010";"Moski";413
"354";"Pomurska";"20";"2011";"Moski";394
"355";"Pomurska";"20";"2012";"Moski";398
"356";"Pomurska";"20";"2013";"Moski";401
"357";"Pomurska";"20";"2014";"Moski";406
"358";"Pomurska";"20";"2015";"Moski";392
"359";"Pomurska";"20";"2016";"Moski";413
"360";"Pomurska";"20";"2017";"Moski";416
"361";"Podravska";"01";"2009";"Moski";2262
"362";"Podravska";"01";"2010";"Moski";1859
"363";"Podravska";"01";"2011";"Moski";1672
"364";"Podravska";"01";"2012";"Moski";1893
"365";"Podravska";"01";"2013";"Moski";1712
"366";"Podravska";"01";"2014";"Moski";1753
"367";"Podravska";"01";"2015";"Moski";1784
"368";"Podravska";"01";"2016";"Moski";1845
"369";"Podravska";"01";"2017";"Moski";1878
"370";"Podravska";"02";"2009";"Moski";2017
"371";"Podravska";"02";"2010";"Moski";2096
"372";"Podravska";"02";"2011";"Moski";2021
"373";"Podravska";"02";"2012";"Moski";1695
"374";"Podravska";"02";"2013";"Moski";1740
"375";"Podravska";"02";"2014";"Moski";1719
"376";"Podravska";"02";"2015";"Moski";1837
"377";"Podravska";"02";"2016";"Moski";1808
"378";"Podravska";"02";"2017";"Moski";1956
"379";"Podravska";"03";"2009";"Moski";2289
"380";"Podravska";"03";"2010";"Moski";2327
"381";"Podravska";"03";"2011";"Moski";2332
"382";"Podravska";"03";"2012";"Moski";2219
"383";"Podravska";"03";"2013";"Moski";2099
"384";"Podravska";"03";"2014";"Moski";2259
"385";"Podravska";"03";"2015";"Moski";2172
"386";"Podravska";"03";"2016";"Moski";2117
"387";"Podravska";"03";"2017";"Moski";1935
"388";"Podravska";"04";"2009";"Moski";2323
"389";"Podravska";"04";"2010";"Moski";2313
"390";"Podravska";"04";"2011";"Moski";2023
"391";"Podravska";"04";"2012";"Moski";2011
"392";"Podravska";"04";"2013";"Moski";2028
"393";"Podravska";"04";"2014";"Moski";2004
"394";"Podravska";"04";"2015";"Moski";1950
"395";"Podravska";"04";"2016";"Moski";1969
"396";"Podravska";"04";"2017";"Moski";1906
"397";"Podravska";"05";"2009";"Moski";2460
"398";"Podravska";"05";"2010";"Moski";2399
"399";"Podravska";"05";"2011";"Moski";2066
