"Povpreène meseène plaèe po: STATISTIÈNA REGIJA, SKD DEJAVNOST, MESEC,"
"PLAÈE , MERITVE"

" ";" ";" ";"Neto plaèa";" ";" "
" ";" ";" ";"Plaèa za obdobje [EUR]";"Plaèa za plaèano uro za obdobje [EUR]";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta"
"SLOVENIJA"
" ";"SKD Dejavnost"
" ";" ";"2012";784.80;4.76;103.70
" ";" ";"2013";793.77;4.54;101.10
" ";" ";"2014";803.47;4.62;101.20
" ";" ";"2015";787.26;4.72;98.00
" ";" ";"2016";784.84;4.72;98.90
" ";"I GOSTINSTVO"
" ";" ";"2005";540.07;3.21;100.80
" ";" ";"2006";581.71;3.41;107.70
" ";" ";"2007";607.75;3.50;104.50
" ";" ";"2008";640.39;3.89;105.40
" ";" ";"2009";697.89;4.16;109.00
" ";" ";"2010";699.44;4.33;100.20
" ";" ";"2011";715.55;4.46;102.30
" ";" ";"2012";673.78;4.08;94.20
" ";" ";"2013";720.73;4.32;107.00
" ";" ";"2014";726.18;4.37;100.80
" ";" ";"2015";705.61;4.33;97.20
" ";" ";"2016";715.60;4.40;100.30
" ";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI"
" ";" ";"2005";837.04;4.98;98.80
" ";" ";"2006";835.53;4.95;99.80
" ";" ";"2007";931.72;5.27;111.50
" ";" ";"2008";996.01;5.60;106.90
" ";" ";"2009";1076.38;6.26;108.10
" ";" ";"2010";1035.33;6.25;96.20
" ";" ";"2011";1071.17;6.44;103.50
" ";" ";"2012";1106.05;6.39;103.30
" ";" ";"2013";1070.87;6.20;96.80
" ";" ";"2014";1112.99;6.27;103.90
" ";" ";"2015";1086.37;6.33;97.60
" ";" ";"2016";1113.30;6.55;99.80
" ";"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI"
" ";" ";"2005";959.98;5.89;112.90
" ";" ";"2006";889.58;5.21;92.70
" ";" ";"2007";980.62;5.61;110.20
" ";" ";"2008";1026.30;5.83;104.70
" ";" ";"2009";1106.48;6.51;107.80
" ";" ";"2010";1126.48;6.95;101.80
" ";" ";"2011";1225.69;7.59;108.80
" ";" ";"2012";1165.27;6.92;95.10
" ";" ";"2013";1214.35;6.84;104.20
" ";" ";"2014";1206.74;6.88;99.40
" ";" ";"2015";1279.70;7.64;106.00
" ";" ";"2016";1204.72;7.27;98.50
" ";"L POSLOVANJE Z NEPREMIÈNINAMI"
" ";" ";"2005";716.09;4.32;112.70
" ";" ";"2006";808.93;4.52;113.00
" ";" ";"2007";836.30;4.71;103.40
" ";" ";"2008";969.46;5.38;115.90
" ";" ";"2009";919.03;5.30;94.80
" ";" ";"2010";989.38;5.88;107.70
" ";" ";"2011";1003.33;5.99;101.40
" ";" ";"2012";986.63;6.00;98.30
" ";" ";"2013";1073.80;6.27;108.80
" ";" ";"2014";952.00;5.44;88.70
