"TIME","GEO","UNIT","VEHICLE","Value","Flag and Footnotes"
"2013","Czechia","Number","Buses","2",""
"2013","Denmark","Number","Passenger cars","79",""
"2013","Denmark","Number","Buses",":",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Passenger cars","1,588",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Buses","9",""
"2013","Estonia","Number","Passenger cars","41",""
"2013","Estonia","Number","Buses","2",""
"2013","Ireland","Number","Passenger cars","107",""
"2013","Ireland","Number","Buses","0",""
"2013","Greece","Number","Passenger cars","347",""
"2013","Greece","Number","Buses","2",""
"2013","Spain","Number","Passenger cars","712",""
"2013","Spain","Number","Buses","11",""
"2013","France","Number","Passenger cars","1,615",""
"2013","France","Number","Buses","7",""
"2013","Croatia","Number","Passenger cars","195",""
"2013","Croatia","Number","Buses","1",""
"2013","Italy","Number","Passenger cars","1,491",""
"2013","Italy","Number","Buses","1",""
"2013","Latvia","Number","Passenger cars","71",""
"2013","Latvia","Number","Buses",":",""
"2013","Lithuania","Number","Passenger cars","108",""
"2013","Lithuania","Number","Buses","0",""
"2013","Luxembourg","Number","Passenger cars","30",""
"2013","Luxembourg","Number","Buses","0",""
"2013","Hungary","Number","Passenger cars","254",""
"2013","Hungary","Number","Buses","6",""
"2013","Netherlands","Number","Passenger cars","180",""
"2013","Netherlands","Number","Buses","0",""
"2013","Austria","Number","Passenger cars","194",""
"2013","Austria","Number","Buses","0",""
"2013","Poland","Number","Passenger cars","1,448",""
"2013","Poland","Number","Buses","18",""
"2013","Portugal","Number","Passenger cars","214",""
"2013","Portugal","Number","Buses",":",""
"2013","Romania","Number","Passenger cars","721",""
"2013","Romania","Number","Buses","8",""
"2013","Slovenia","Number","Passenger cars","40",""
"2013","Slovenia","Number","Buses","0",""
"2013","Slovakia","Number","Passenger cars",":",""
"2013","Slovakia","Number","Buses",":",""
"2013","Finland","Number","Passenger cars","152",""
"2013","Finland","Number","Buses",":",""
"2013","Sweden","Number","Passenger cars","144",""
"2013","Sweden","Number","Buses","1",""
"2013","United Kingdom","Number","Passenger cars","815",""
"2013","United Kingdom","Number","Buses",":",""
"2013","Norway","Number","Passenger cars","105",""
"2013","Norway","Number","Buses","3",""
"2013","Switzerland","Number","Passenger cars","103",""
"2013","Switzerland","Number","Buses","0",""
"2014","European Union (current composition)","Number","Passenger cars",":",""
"2014","European Union (current composition)","Number","Buses",":",""
"2014","Belgium","Number","Passenger cars","379",""
"2014","Belgium","Number","Buses","4",""
"2014","Bulgaria","Number","Passenger cars","379",""
"2014","Bulgaria","Number","Buses","4",""
"2014","Czechia","Number","Passenger cars","347",""
"2014","Czechia","Number","Buses","3",""
"2014","Denmark","Number","Passenger cars","89",""
"2014","Denmark","Number","Buses",":",""
"2014","Germany (until 1990 former territory of the FRG)","Number","Passenger cars","1,579",""
"2014","Germany (until 1990 former territory of the FRG)","Number","Buses","5",""
"2014","Estonia","Number","Passenger cars","33",""
