"Zaposlene osebe po višini neto plaèe po: STATISTIÈNA REGIJA, RAZRED"
"NETO, LETO , SPOL"

" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"SLOVENIJA"
" ";"Razred neto - SKUPAJ"
" ";" ";"2014";993;530;463
" ";" ";"2015";971;543;428
" ";" ";"2016";976;538;438
" ";" ";"2017 (zaèasni podatki)";1029;574;455
" ";"15"
" ";" ";"2009";1061;548;513
" ";" ";"2010";1025;551;474
" ";" ";"2011";976;504;472
" ";" ";"2012";976;519;457
" ";" ";"2013";903;455;448
" ";" ";"2014";937;514;423
" ";" ";"2015";921;504;417
" ";" ";"2016";926;521;405
" ";" ";"2017 (zaèasni podatki)";1000;546;454
" ";"16"
" ";" ";"2009";1055;551;504
" ";" ";"2010";1007;509;498
" ";" ";"2011";980;486;494
" ";" ";"2012";968;465;503
" ";" ";"2013";915;398;517
" ";" ";"2014";920;433;487
" ";" ";"2015";913;453;460
" ";" ";"2016";1010;465;545
" ";" ";"2017 (zaèasni podatki)";954;429;525
" ";"17"
" ";" ";"2009";987;446;541
" ";" ";"2010";974;408;566
" ";" ";"2011";932;398;534
" ";" ";"2012";894;382;512
" ";" ";"2013";863;347;516
" ";" ";"2014";894;380;514
" ";" ";"2015";885;363;522
" ";" ";"2016";970;414;556
" ";" ";"2017 (zaèasni podatki)";1004;437;567
" ";"18"
" ";" ";"2009";1042;381;661
" ";" ";"2010";1006;366;640
" ";" ";"2011";996;372;624
" ";" ";"2012";967;378;589
" ";" ";"2013";920;375;545
" ";" ";"2014";952;416;536
" ";" ";"2015";881;372;509
" ";" ";"2016";884;400;484
" ";" ";"2017 (zaèasni podatki)";921;414;507
" ";"19"
" ";" ";"2009";903;438;465
" ";" ";"2010";834;414;420
" ";" ";"2011";787;381;406
" ";" ";"2012";780;392;388
" ";" ";"2013";759;393;366
" ";" ";"2014";766;397;369
" ";" ";"2015";719;360;359
" ";" ";"2016";724;386;338
" ";" ";"2017 (zaèasni podatki)";746;415;331
" ";"20"
" ";" ";"2009";683;422;261
" ";" ";"2010";664;413;251
" ";" ";"2011";615;394;221
" ";" ";"2012";617;398;219
" ";" ";"2013";602;401;201
" ";" ";"2014";597;406;191
" ";" ";"2015";567;392;175
" ";" ";"2016";589;413;176
" ";" ";"2017 (zaèasni podatki)";602;416;186
"Podravska"
" ";"Razred neto - SKUPAJ"
" ";" ";"2009";85233;46633;38600
" ";" ";"2010";80202;43347;36855
" ";" ";"2011";76118;39370;36748
" ";" ";"2012";73493;38104;35389
" ";" ";"2013";71545;36665;34880
" ";" ";"2014";73274;38267;35007
" ";" ";"2015";71915;37722;34193
" ";" ";"2016";74410;38798;35612
" ";" ";"2017 (zaèasni podatki)";76171;39875;36296
" ";"01"
" ";" ";"2009";4686;2262;2424
" ";" ";"2010";4396;1859;2537
" ";" ";"2011";4321;1672;2649
" ";" ";"2012";4251;1893;2358
" ";" ";"2013";4036;1712;2324
" ";" ";"2014";4215;1753;2462
" ";" ";"2015";4142;1784;2358
" ";" ";"2016";4371;1845;2526
" ";" ";"2017 (zaèasni podatki)";4494;1878;2616
" ";"02"
" ";" ";"2009";4595;2017;2578
" ";" ";"2010";4417;2096;2321
