"Delovno aktivno prebivalstvo, registrirane brezposelne osebe in stopnje"
"registrirane brezposelnosti po: STATISTIÈNA REGIJA, MESEC, SPOL ,"
"MERITVE"

" ";" ";" ";"2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"3 Registrirane brezposelne osebe";"4 Stopnja registrirane brezposelnosti"
"SLOVENIJA"
" ";" ";"Spol - SKUPAJ";48745;3664;7.0
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";50089;2906;5.5
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";51518;2465;4.6
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";51653;2921;5.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";48466;4381;8.3
" ";" ";"Moški";27396;2421;8.1
" ";" ";"Ženske";21070;1960;8.5
" ";"2011"
" ";" ";"Spol - SKUPAJ";47525;5293;10.0
" ";" ";"Moški";26702;2994;10.1
" ";" ";"Ženske";20823;2299;9.9
" ";"2012"
" ";" ";"Spol - SKUPAJ";46877;5374;10.3
" ";" ";"Moški";26067;3046;10.5
" ";" ";"Ženske";20810;2328;10.1
" ";"2013"
" ";" ";"Spol - SKUPAJ";44915;6085;11.9
" ";" ";"Moški";24745;3506;12.4
" ";" ";"Ženske";20170;2579;11.3
" ";"2014"
" ";" ";"Spol - SKUPAJ";44251;6273;12.4
" ";" ";"Moški";24552;3419;12.2
" ";" ";"Ženske";19699;2854;12.7
" ";"2015"
" ";" ";"Spol - SKUPAJ";45320;5666;11.1
" ";" ";"Moški";25159;2902;10.3
" ";" ";"Ženske";20161;2764;12.1
" ";"2016"
" ";" ";"Spol - SKUPAJ";45281;5196;10.3
" ";" ";"Moški";24910;2630;9.5
" ";" ";"Ženske";20371;2566;11.2
" ";"2017"
" ";" ";"Spol - SKUPAJ";46733;4031;7.9
" ";" ";"Moški";25675;2076;7.5
" ";" ";"Ženske";21058;1955;8.5
"Obalno-kraška"
" ";"2005"
" ";" ";"Spol - SKUPAJ";43320;3831;8.1
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";44181;3834;8.0
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";45428;3439;7.0
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";47176;2966;5.9
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";48170;3103;6.1
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";47229;3956;7.7
" ";" ";"Moški";27092;2134;7.3
" ";" ";"Ženske";20137;1822;8.3
" ";"2011"
" ";" ";"Spol - SKUPAJ";46001;4980;9.8
" ";" ";"Moški";25968;2770;9.6
" ";" ";"Ženske";20033;2210;9.9
" ";"2012"
" ";" ";"Spol - SKUPAJ";45525;5269;10.4
" ";" ";"Moški";25617;2862;10.0
" ";" ";"Ženske";19908;2407;10.8
" ";"2013"
" ";" ";"Spol - SKUPAJ";43507;5915;12.0
" ";" ";"Moški";24140;3385;12.3
" ";" ";"Ženske";19367;2530;11.6
" ";"2014"
" ";" ";"Spol - SKUPAJ";42972;6609;13.3
" ";" ";"Moški";23875;3640;13.2
" ";" ";"Ženske";19097;2969;13.5
" ";"2015"
" ";" ";"Spol - SKUPAJ";43637;6155;12.4
" ";" ";"Moški";24231;3245;11.8
" ";" ";"Ženske";19406;2910;13.0
" ";"2016"
" ";" ";"Spol - SKUPAJ";44153;6022;12.0
" ";" ";"Moški";24372;3123;11.4
" ";" ";"Ženske";19781;2899;12.8
" ";"2017"
" ";" ";"Spol - SKUPAJ";45850;5013;9.9
" ";" ";"Moški";25278;2577;9.3
" ";" ";"Ženske";20572;2436;10.6

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8138 target=_blank) Metodološka pojasnila"

"Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih "
"teritorialnih enot v Evropski uniji [The Classification  of "
