"";"Regija";"Dejavnost";"Leto";"Plača.za.obodbje.v.EUR";"Plača_za_delano_uro_v_obdobju.v.EUR";"Indeks.spremembe.plače.glede.na.prejšnje.obdobje"
"183";"SLOVENIJA";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";2007;937,8;5,34;105,3
"184";"SLOVENIJA";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";2008;1005,74;5,64;107,2
"185";"SLOVENIJA";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";2009;1139,32;6,7;113,3
"186";"SLOVENIJA";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";2010;1131,78;6,99;99,3
"187";"SLOVENIJA";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";2011;1137,83;7,02;100,5
"188";"SLOVENIJA";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";2012;1148,55;6,74;100,9
"189";"SLOVENIJA";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";2013;1148,61;6,4;100
"190";"SLOVENIJA";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";2014;1134,42;6,33;98,8
"191";"SLOVENIJA";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";2015;1148,38;6,7;101,2
"192";"SLOVENIJA";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";2016;1150,59;6,8;100,8
"193";"SLOVENIJA";"P IZOBRAŽEVANJE";2005;864;5,27;105,8
"194";"SLOVENIJA";"P IZOBRAŽEVANJE";2006;911,85;5,51;105,5
"195";"SLOVENIJA";"P IZOBRAŽEVANJE";2007;985,4;5,82;108,1
"196";"SLOVENIJA";"P IZOBRAŽEVANJE";2008;1019,58;6,04;103,5
"197";"SLOVENIJA";"P IZOBRAŽEVANJE";2009;1101,36;6,63;108
"198";"SLOVENIJA";"P IZOBRAŽEVANJE";2010;1107,71;6,91;100,6
"199";"SLOVENIJA";"P IZOBRAŽEVANJE";2011;1115,54;6,99;100,7
"200";"SLOVENIJA";"P IZOBRAŽEVANJE";2012;1121,28;6,72;100,5
"201";"SLOVENIJA";"P IZOBRAŽEVANJE";2013;1075,72;6,24;95,9
"202";"SLOVENIJA";"P IZOBRAŽEVANJE";2014;1073,87;6,2;99,8
"203";"SLOVENIJA";"P IZOBRAŽEVANJE";2015;1077,1;6,5;100,3
"204";"SLOVENIJA";"P IZOBRAŽEVANJE";2016;1067,43;6,5;99,8
"205";"SLOVENIJA";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";2005;822,47;4,84;103,8
"206";"SLOVENIJA";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";2006;853,21;4,87;103,7
"207";"SLOVENIJA";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";2007;898,55;5,01;105,3
"208";"SLOVENIJA";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";2008;926,35;5,14;103,1
"209";"SLOVENIJA";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";2009;1126,61;6,39;121,6
"210";"SLOVENIJA";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";2010;1112,96;6,47;98,8
"211";"SLOVENIJA";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";2011;1103,67;6,48;99,2
"212";"SLOVENIJA";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";2012;1104,19;6,36;100
"213";"SLOVENIJA";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";2013;1085,05;6,13;98,3
"214";"SLOVENIJA";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";2014;1102,44;6,23;101,6
"215";"SLOVENIJA";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";2015;1078,92;6,22;97,9
"216";"SLOVENIJA";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";2016;1080,54;6,28;99,8
"217";"SLOVENIJA";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";2005;958,67;5,73;107,5
"218";"SLOVENIJA";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";2006;923,35;5,47;96,3
"219";"SLOVENIJA";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";2007;974,1;5,63;105,5
"220";"SLOVENIJA";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";2008;1017,37;5,89;104,4
"221";"SLOVENIJA";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";2009;1095,23;6,57;107,7
"222";"SLOVENIJA";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";2010;1104,79;6,84;100,9
"223";"SLOVENIJA";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";2011;1104,8;6,87;100
"224";"SLOVENIJA";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";2012;1102,67;6,56;99,8
"225";"SLOVENIJA";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";2013;1067,16;6,16;96,8
"226";"SLOVENIJA";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";2014;1067,92;6,17;100,1
"227";"SLOVENIJA";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";2015;1059,21;6,36;99,2
"228";"SLOVENIJA";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";2016;1048,83;6,37;99,2
"229";"SLOVENIJA";"S DRUGE DEJAVNOSTI";2005;708,57;4,29;103,1
"230";"SLOVENIJA";"S DRUGE DEJAVNOSTI";2006;731,86;4,33;103,3
"231";"SLOVENIJA";"S DRUGE DEJAVNOSTI";2007;771,45;4,48;105,4
